FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
Intelligent Energy Europe (IEE) Programme,1,,,,,,,,
Innovation Project for Postgraduates of Jiangsu Province,1,,,,,,,,
European Commission Horizon 2020 5G PPP Programme,1,,,,,,,,
"Promote* Project of the Secretariat for Higher Education, Science Technology and Innovation (SENESCVT) of the Republic of Ecuador",1,,,,,,,,
US Federal Aviation Administration (FAA),1,,,,,,,,
ICT Fund,1,,,,,,,,
China General Nuclear Power Corporation,1,,,,,,,,
CGMH,1,,,,,,,,
7th Framework program,1,,,,,,,,
NOAA National Geophysical Data Center,1,,,,,,,,
Cercle Gutenberg (France),1,,,,,,,,
Octavo,1,,,,,,,,
Henan Province Science Found for Distinguished Young Scholars of China,1,,,,,,,,
Postdoctoral Science Foundation of Jiangxi Province,1,,,,,,,,
Samsung GRO award,1,,,,,,,,
Jiangsu Key Lab for NSLSCS,1,,,,,,,,
Research Fund of Guangxi Key Laboratory of Trusted Software,1,,,,,,,,
Project CONFIRM,1,,,,,,,,
Wuhan Applied Basic Research Project,1,,,,,,,,
Instituto Nacional de Ciencia e Tecnologia de Nanotecnologia para Marcadores Integrados (INCT-INAMI),1,,,,,,,,
Robert Bosch Centre for Data Science and AI (RBC-DSAI),1,,,,,,,,
Trusted Computing Ministry of Education,1,,,,,,,,
CONCERTO,1,,,,,,,,
US NSF Graduate Research Fellowship,1,,,,,,,,
Major Program of National Nature Science Foundation of China,1,,,,,,,,
"Computational Intelligence Technology Center (CITC), Industrial Technology Research Institute (ITRI), Taiwan, ROC",1,,,,,,,,
United States Air Force Office of Scientific Research,1,,,,,,,,
Defense Advanced Research Projects Agency/National Aeronautics and Space Administration Ames Research Center,1,,,,,,,,
Life2.0,1,,,,,,,,
Chinese National Key R&D Development Program,1,,,,,,,,
Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior - Capes,1,,,,,,,,
Key Joint Program of National Natural Science Foundation and Guangdong Province,1,,,,,,,,
USAID Energy Policy Program,1,,,,,,,,
"State Education Ministry (SRF for ROCS, SEM)",1,,,,,,,,
Connaught Funds,1,,,,,,,,
First Batch of Science and Technology Projects of Liaoning Province,1,,,,,,,,
Turkey Science and Technology Research Institute (TUBITAK),1,,,,,,,,
Ontario Centres of Excellence (OCE),1,,,,,,,,
Airbus/EADS,1,,,,,,,,
Major International (Ragional) Joint Research Project,1,,,,,,,,
NSFC/RGC,1,,,,,,,,
Dell-EMC,1,,,,,,,,
Kakenhi Kiban,1,,,,,,,,
POETICON++,1,,,,,,,,
"Tianjin Key Lab of Intelligent Computing and Novel Software Technology, Key Laboratory of Computer Vision and System, Ministry of Education",1,,,,,,,,
Projects of Liaoning Province,1,,,,,,,,
Semiconductor Research Corporation Task,1,,,,,,,,
"State Administration of Foreign Experts Affairs, China",1,,,,,,,,
"Science & Technology Pillar Program of Tianjin, China",1,,,,,,,,
"SKF Engineering and Research Center, Nieuwegein, The Netherlands",1,,,,,,,,
"CSIR, Government of India",1,,,,,,,,
Youth Science Foundation of Jilin Province of China,1,,,,,,,,
Natural Science Foundation of Xizang,1,,,,,,,,
Project of Chongqing Education Commission,1,,,,,,,,
Arts Council England,1,,,,,,,,
"Israeli Ministry of Science, Technology and Space",1,,,,,,,,
Federal Ministry of Food and Agriculture - Germany (BMEL),1,,,,,,,,
Special Fund of the Central Finance for the Development of Local Universities,1,,,,,,,,
2017 National Social Science foundation,1,,,,,,,,
Walloon Region of Belgium,1,,,,,,,,
National Commission for Scientific and Technological Research,1,,,,,,,,
EU FP7 project QALGO,1,,,,,,,,
Lundin Norway,1,,,,,,,,
"Science Foundation of Hunan Province, China",1,,,,,,,,
UTM/RUG/04H11 RMC Universiti Teknologi Malaysia,1,,,,,,,,
FP7 NMP FRAME,1,,,,,,,,
Engineering Research and Development for Technology (ERDT),1,,,,,,,,
European Union FP7 Programme,1,,,,,,,,
Knowledge Fund (Cooperative Cloud-Based Simultaneous Localization and Mapping in Dynamic Environments),1,,,,,,,,
Czech Science Foundation Republic,1,,,,,,,,
FOMIX-CONACYT,1,,,,,,,,
MoE/RFDP),1,,,,,,,,
National Science and Technology Support Project,1,,,,,,,,
Universities Scientific Research Project of Gansu Province Education Department,1,,,,,,,,
EU grant RELEASE,1,,,,,,,,
Peasant farmers,1,,,,,,,,
Science Foundation for Distinguished Young Scholars of Jiangsu Province,1,,,,,,,,
Special Fund for Agro-Scientific Research in the Public Interest,1,,,,,,,,
Exa2Green,1,,,,,,,,
Satellite Applications Catapult,1,,,,,,,,
Shenzhen Council for Scientific and Technological Innovation,1,,,,,,,,
Key Research Fund of the MIIT of China,1,,,,,,,,
State Oil Company of Azerbaijan,1,,,,,,,,
The National Science Centre,1,,,,,,,,
SEED program,1,,,,,,,,
German Ministry of Economy and Technology (BMWi),1,,,,,,,,
"MISP (Ministry of Science, ICT & Future Planning) of Korea",1,,,,,,,,
ESRC/EPSRC Teaching and Learning Research Programme (Technology Enhanced Learning,1,,,,,,,,
GRF HKU 17205815,1,,,,,,,,
General Research Fund Scheme,1,,,,,,,,
Ng Teng Fong Charitable Foundation,1,,,,,,,,
Jiangsu Province Postdoctoral Research Funding Plan,1,,,,,,,,
Project Development Plan of Science and Technology of Yantai City,1,,,,,,,,
State Key Lab of Rail Traffic Control and Safety Project,1,,,,,,,,
Ministerio de Economia y Competitividad-Gobierno de Espana,1,,,,,,,,
Scientific Grant Agency VEGA of the Slovak republic,1,,,,,,,,
Go8 Australia-Germany Joint Research Collaboration Scheme,1,,,,,,,,
NSF (China),1,,,,,,,,
HIR Social Science,1,,,,,,,,
"Liaoning provincial Excellent Talents in University, China",1,,,,,,,,
Ministry of Science and Technology (MOST) in Taiwan,1,,,,,,,,
"Ministry of Human Resources and Development, India",1,,,,,,,,
LIFE Center,1,,,,,,,,
Charles Pankow Foundation,1,,,,,,,,
Eurostars-Eureka project PROMPT,1,,,,,,,,
National Science Foundation (NSF) Awards of USA,1,,,,,,,,
Alzheimer Forschung Initiative e.V.,1,,,,,,,,
"National Research Foundation of Korea, Ministry of Education",1,,,,,,,,
Airbus Group Foundation,1,,,,,,,,
DARPA YFA Program,1,,,,,,,,
Supporting Drug Discovery and Life Science Research,1,,,,,,,,
"MIT - DIT, Govt. of India",1,,,,,,,,
Programa de Ayudas de Investigacion y Desarrollo,1,,,,,,,,
General Program of Natural Science Foundation of China,1,,,,,,,,
FRC Tier 1,1,,,,,,,,
European Union's Seventh Framework Programme (FP/2007-2013) / ERC Grant Agreements,1,,,,,,,,
"Ministry of Education, Science and Technology, S. Korea",1,,,,,,,,
"Graduate Research Innovation Program of Jiangsu, China",1,,,,,,,,
Iranian Nanotechnology Initiative,1,,,,,,,,
Foundation of Shandong province,1,,,,,,,,
European project ALCOTRA-MASSA,1,,,,,,,,
European Research Council grant SIERRA,1,,,,,,,,
Programa de Ayudas de Investigacion y Desarrollo (PAID),1,,,,,,,,
NZ Tertiary Education Commission (TEC) fund MedTech CoRE (Centre of Research Expertise),1,,,,,,,,
Acupoint Function,1,,,,,,,,
Industrial Infrastructure Program of Laser Industry Support,1,,,,,,,,
863 High Tech Development Plan,1,,,,,,,,
Industrial Research and Consultancy Center,1,,,,,,,,
Institut francais de recherche pour l'exploitation de la mer (IFREMER),1,,,,,,,,
JSPS KAKENHI Grant-in-Aid for Scientific Research (C),1,,,,,,,,
National Research Foundation (NRF) of Korea Grant,1,,,,,,,,
Major R&D Project of Educational Commission of Guangdong,1,,,,,,,,
Future and Emerging Technologies Programme,1,,,,,,,,
State Key Laboratory of Urban Water Resource and Environment,1,,,,,,,,
BabyRobot,1,,,,,,,,
US Department of Energy Exascale Computing Program,1,,,,,,,,
Fundacoo para a Ciencia e a Tecnologia (FCT),1,,,,,,,,
Brain Korea 21 Project 2017,1,,,,,,,,
AGAUR of Generalitat de Catalunya,1,,,,,,,,
"Department of Transportation, State of Georgia",1,,,,,,,,
National Center for Advanced Translational Sciences,1,,,,,,,,
Wireless Sustainability Center of the Department of Electronic Engineering,1,,,,,,,,
Max Planck Society for the Advancement of Science,1,,,,,,,,
PDSE - Sandwich Doctoral Programme,1,,,,,,,,
INCT-MACC,1,,,,,,,,
"Optimi-Ericsson, Junta de Andalucia (Agencia IDEA, Consejeria de Ciencia, Innovacion y Empresa",1,,,,,,,,
IRSES Marie Curie,1,,,,,,,,
Hyperspectral Scene Simulation,1,,,,,,,,
Special Foundation for State Major Basic Research Program of China,1,,,,,,,,
Italian National Group for Scientific Computing (GNCS-INDAM),1,,,,,,,,
Development Projects of Shandong Province Science and Technology,1,,,,,,,,
FP7 Marie Curie Career Integration Grant,1,,,,,,,,
Importation and Development of the High-Caliber Talents Project of Beijing Municipal Institutions,1,,,,,,,,
WATMAN,1,,,,,,,,
Future Research Projects Funds for the Science and Technology Department of Jiangsu Province,1,,,,,,,,
European Founds for the Regional Development,1,,,,,,,,
"Taishan Scholar Program of Shandong Province, China",1,,,,,,,,
BSC-CNS,1,,,,,,,,
Cultura i Esport (Generalitat Valenciana,1,,,,,,,,
UTAS Visiting Scholars Program,1,,,,,,,,
Automated Assessment of Joint Synovitis Activity from Medical Ultrasound and Power Doppler Examinations,1,,,,,,,,
"SUPSI, Switzerland",1,,,,,,,,
Comunidad de Madrid (Spain) funds,1,,,,,,,,
Andrew Mellon Foundation,1,,,,,,,,
Beijing Key Laboratory for Network-Based Cooperative Air Traffic Management,1,,,,,,,,
Spanish Ministerio de Economia y Competitividad under the SOCOVIFI2 project,1,,,,,,,,
GRAND Networks of Centres of Excellence of Canada,1,,,,,,,,
EPSRC Programme Grant S3A,1,,,,,,,,
Securing Virtual Environment of Cloud Computing,1,,,,,,,,
Young Scientist Fund of National Natural Science Foundation of China,1,,,,,,,,
Global IT Talent support program,1,,,,,,,,
Arts & Humanities Research Council (UK),1,,,,,,,,
Plum Island Ecosystems - Long Term Ecological Research,1,,,,,,,,
Verification of Critical Systems,1,,,,,,,,
"Alfried Krupp von Bohlen und Halbach Foundation, Essen",1,,,,,,,,
Major Projects of The National Social Science Fund of China,1,,,,,,,,
BMBF-Projects CancerSys/LungSys,1,,,,,,,,
Science and Technology Department of the Brazilian Army,1,,,,,,,,
ONR PECASE Award,1,,,,,,,,
Natural Sciences Foundation of Guangzhou Maritime Institute,1,,,,,,,,
"State Key Laboratory of Digital Manufacturing Equipment and Technology, China",1,,,,,,,,
Twelfth Five-Year Scientific and Technological Research Planning Project,1,,,,,,,,
Fonds Recherche Quebec-Societe et Culture,1,,,,,,,,
CURI,1,,,,,,,,
Consejeria de Educacion de la Comunidad de Madrid,1,,,,,,,,
"Program of Key Industry Innovation Chain of Shaanxi Province, China",1,,,,,,,,
Royal Bank of Canada,1,,,,,,,,
Open Funding Program of the Joint Laboratory of Flight Vehicle Ocean-Based Measurement and Control,1,,,,,,,,
Shenzhen Key Lab of Service Computing and Applications,1,,,,,,,,
UPM,1,,,,,,,,
Fonds Speciaux de Recherche,1,,,,,,,,
Fund of Hubei Key Laboratory of Transportation Internet of Things,1,,,,,,,,
Fujian Key Lab of Medical Instrument and Pharmaceutical Technology,1,,,,,,,,
LIESMARS Open Found,1,,,,,,,,
"Alberta Innovates Centre for Machine Learning, Canada's NSERC",1,,,,,,,,
Excellence Initiative of the German federal and state governments,1,,,,,,,,
European Union's Seventh Framework Programme (FP/2007-2013) / ERC Grant Agreement,1,,,,,,,,
Training and Research Unit,1,,,,,,,,
Research Fellowships scheme,1,,,,,,,,
Open Foundation of Key Laboratory for National Geography State Monitoring,1,,,,,,,,
FP7 KBBE Grant BIOCORE,1,,,,,,,,
Capacity Building Project,1,,,,,,,,
MIT Skoltech Seed Fund,1,,,,,,,,
Department of National Defence Applied Research Program,1,,,,,,,,
"Ministry of Science, Industry and Technology of Turkey",1,,,,,,,,
Scientific Research Staring Foundation for Introduced Talents in NJUPT under NUPTSF,1,,,,,,,,
Eurasia-Pacific Uninet Post-Doc Scholarship,1,,,,,,,,
Centre for Philosophy of Natural and Social Sciences,1,,,,,,,,
Korean ICT Research and Development Program of MSIP/IITP,1,,,,,,,,
NUAA Scientific Research Funds,1,,,,,,,,
973 project of China,1,,,,,,,,
Cognitive Assisted Living Ambient System (COALAS) Project,1,,,,,,,,
Center for Advanced Studies in Identity Science,1,,,,,,,,
European Commission (FP7-PEOPLE-2011-ITN),1,,,,,,,,
"IBM Science and Technology Center, Moscow, Russia",1,,,,,,,,
EU IST Cognitive Systems IP Xperience,1,,,,,,,,
Foundation of Army Armaments Department of China,1,,,,,,,,
InnoMeT,1,,,,,,,,
China Scholarship council (CSC),1,,,,,,,,
National Program for Support of Eminent Professionals,1,,,,,,,,
CMCU,1,,,,,,,,
COST-WiNeMO,1,,,,,,,,
Horizon 2020 ERC Advanced Grant project ORIENT,1,,,,,,,,
NIH NA-MIC,1,,,,,,,,
Ph.D. Program Foundation,1,,,,,,,,
Program of National High-tech R&D Program of China,1,,,,,,,,
Project of Education Planning in Zhejiang province,1,,,,,,,,
"Science and Technology Project of China Southern Power Grid Co., Ltd.",1,,,,,,,,
ANR Colib'read,1,,,,,,,,
Optimised Energy Efficient Design Platform for Refurbishment at District Level (OptEEmAL),1,,,,,,,,
"Japan Society for the Promotion of Science, Grant-in-Aid for Research Activity Start-up",1,,,,,,,,
Start-Up Research Grant,1,,,,,,,,
European Communities,1,,,,,,,,
French/Austrian RNALands project,1,,,,,,,,
Andalusian R&D&I,1,,,,,,,,
Azienda Unit a Sanitaria Locale (AUSL) of Bologna,1,,,,,,,,
"Leverhulme Trust, UK",1,,,,,,,,
Fundamental Research Fund for Shenzhen Science and Technology Innovation Committee,1,,,,,,,,
Labex Archimede,1,,,,,,,,
Hubei Provincial Key Project,1,,,,,,,,
Barcelona Supercomputing Center,1,,,,,,,,
Excellent Youth Project of Hunan Education Department,1,,,,,,,,
Shanghai Postdoctoral Scientific Program,1,,,,,,,,
16th Asian Quantum Information Science Conference,1,,,,,,,,
Guangzhou Science and Technology Projects,1,,,,,,,,
"French Government (National Research Agency, ANR)",1,,,,,,,,
National Science Foundation of Jiangxi Provincial,1,,,,,,,,
Higher Committee for Education Development (HCED) in Iraq,1,,,,,,,,
UbeAware,1,,,,,,,,
European Commission COST Action,1,,,,,,,,
Taiwan Department of Medical Research,1,,,,,,,,
Key Research and Development Program of China,1,,,,,,,,
Centre of Research Excellence for Data Science and Cooperative Systems),1,,,,,,,,
Malaysian International Scholarship Department (MIS-MOHE),1,,,,,,,,
National Nature Science Foundation of Jiangsu Province,1,,,,,,,,
Shang-hai Municipal Commission of Health and Family Planning,1,,,,,,,,
EU FP7 C-DAX Project,1,,,,,,,,
Korea government (MSIP/IITP),1,,,,,,,,
Technology Development of 22-nm Level Foundry Device,1,,,,,,,,
"National Research Foundation of Korea, Ministry of Education, Science and Technology",1,,,,,,,,
NSC 101-2218-E-008-015,1,,,,,,,,
Science and Technology Project of Chongqing Municipal Education Commission,1,,,,,,,,
Collaborative European Digital Archive Infrastructure project CENDARI,1,,,,,,,,
AGE-WELL Network of Centres of Excellence Grant,1,,,,,,,,
Network Monitoring Center of Jiangsu Province,1,,,,,,,,
Anna Centenary Research Fellowship,1,,,,,,,,
EU IP Project Optique,1,,,,,,,,
CNPq (Brazilian Research Council,1,,,,,,,,
IShOP,1,,,,,,,,
Project for the Applied Basic Research of Qingdao of China,1,,,,,,,,
"Key Laboratory of Network Assessment Technology, CAS",1,,,,,,,,
Michael Smith Foundation for Health Research Scholar,1,,,,,,,,
National Natural Science Foundation for Youth of China,1,,,,,,,,
LNCC (Petropolis-RJ),1,,,,,,,,
INSTALZ-Neurodegenerative Disease Research,1,,,,,,,,
NOVA LINCS,1,,,,,,,,
US Multidisciplinary Research Program,1,,,,,,,,
ITEA2 project openETCS,1,,,,,,,,
Key Laboratory of Agricultural Remote Sensing,1,,,,,,,,
Aeronautic Science Foundation Program of China,1,,,,,,,,
thirteenth National key-point,1,,,,,,,,
Engineering Research Centers Program,1,,,,,,,,
Project CROWN,1,,,,,,,,
German Federal Waterways and Shipping Administration,1,,,,,,,,
Supported Program for Young Talents,1,,,,,,,,
National Natural Science Foundations of PR China,1,,,,,,,,
Jiangsu 333 Expert Engineering,1,,,,,,,,
NPU,1,,,,,,,,
Scientific Research Project of Department of Education of Yunnan Province of China,1,,,,,,,,
Thon foundation,1,,,,,,,,
Key Research Program of CAS,1,,,,,,,,
Royal Automobile Club of Queensland,1,,,,,,,,
Danish Council for Technology and Innovation and The Capital Region of Denmark,1,,,,,,,,
National Technology Support Project,1,,,,,,,,
"Directorate General of Higher Education, Ministry of Research, Technology, and Higher Education of Indonesia",1,,,,,,,,
"Directorate General of Resources for Science, Technology and Higher Education, Ministry of Research, Technology and Higher Education of Indonesia",1,,,,,,,,
Program of China Scholarships Council,1,,,,,,,,
European Union's Seventh Programme for Research,1,,,,,,,,
Southwest Florida Water Management District,1,,,,,,,,
"Directorate of Higher Education, Ministry of Research, Technology and Higher Education, Republic of Indonesia",1,,,,,,,,
"Biosciences, Environment and Agriculture Alliance (BEAA)",1,,,,,,,,
Newton Institutional Links,1,,,,,,,,
Telkom South Africa,1,,,,,,,,
UC Discovery Grant Program,1,,,,,,,,
National Institutes of Health/ National Institute of Dental and Craniofacial Research,1,,,,,,,,
